2024-03-17 14:21:07.649 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-03-17 14:21:08.394 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.s.IndexSchema Schema name=default-config
2024-03-17 14:21:08.802 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2024-03-17 14:21:10.096 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-03-17 14:21:10.750 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@655a5d9c{solr-jetty-context.xml,/solr,file:///opt/solr-9.5.0/server/solr-webapp/webapp/,AVAILABLE}{/opt/solr-9.5.0/server/solr-webapp/webapp}
2024-03-17 14:21:10.811 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /var/solr/logs/2024_03_17.request.log
2024-03-17 14:21:10.819 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@2b95e48b{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2024-03-17 14:21:10.822 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@376a312c{STARTING}[10.0.19,sto=0] @17444ms
2024-03-17 14:21:11.688 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-03-17 14:21:11.690 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.c.CoreContainer Creating SolrCore 'restaurants_shard1_replica_n1' using configuration from instancedir /var/solr/data/restaurants_shard1_replica_n1, trusted=true
2024-03-17 14:21:12.040 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/restaurants_shard1_replica_n1], dataDir=[/var/solr/data/restaurants_shard1_replica_n1/data/]
2024-03-17 14:21:14.133 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-03-17 14:21:14.209 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-03-17 14:21:14.209 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-03-17 14:21:14.583 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-03-17 14:21:14.584 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-03-17 14:21:16.141 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/restaurants_shard1_replica_n1/conf
2024-03-17 14:21:16.271 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.s.DirectSolrSpellChecker init: {maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2024-03-17 14:21:16.296 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-03-17 14:21:16.300 INFO  (searcherExecutor-13-thread-1-processing-restaurants_shard1_replica_n1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 14:21:16.300 INFO  (searcherExecutor-13-thread-1-processing-restaurants_shard1_replica_n1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-17 14:21:16.316 INFO  (searcherExecutor-13-thread-1-processing-restaurants_shard1_replica_n1) [c: s: r: x:restaurants_shard1_replica_n1 t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 14:24:02.237 INFO  (qtp693267461-27-null-1) [c: s: r: x:restaurants_shard1_replica_n1 t:null-1] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=24 status=0 QTime=271
2024-03-17 14:24:02.526 INFO  (qtp693267461-19-null-2) [c: s: r: x:restaurants_shard1_replica_n1 t:null-2] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=24&wt=javabin&version=2} hits=24 status=0 QTime=49
2024-03-17 14:34:10.436 INFO  (qtp693267461-26-null-3) [c: s: r: x:restaurants_shard1_replica_n1 t:null-3] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&useParams=&_=1710668151917} hits=24 status=0 QTime=0
2024-03-17 14:34:10.516 INFO  (qtp693267461-20-null-4) [c: s: r: x:restaurants_shard1_replica_n1 t:null-4] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&useParams=&_=1710668151917} hits=24 status=0 QTime=0
2024-03-17 14:34:11.519 INFO  (qtp693267461-21-null-5) [c: s: r: x:restaurants_shard1_replica_n1 t:null-5] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710668151917} status=0 QTime=67
2024-03-17 14:34:11.525 INFO  (qtp693267461-27-null-6) [c: s: r: x:restaurants_shard1_replica_n1 t:null-6] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710668151917} status=0 QTime=0
2024-03-17 14:34:12.490 INFO  (qtp693267461-22-null-7) [c: s: r: x: t:null-7] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710668151883} status=0 QTime=15
2024-03-17 14:34:12.503 INFO  (qtp693267461-27-null-8) [c: s: r: x: t:null-8] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710668151883} status=0 QTime=5
2024-03-17 14:34:13.500 INFO  (qtp693267461-23-null-9) [c: s: r: x: t:null-9] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710668151883} status=0 QTime=0
2024-03-17 14:34:13.506 INFO  (qtp693267461-27-null-10) [c: s: r: x: t:null-10] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710668151883} status=0 QTime=0
2024-03-17 15:08:22.034 INFO  (qtp693267461-21-null-11) [c: s: r: x:restaurants_shard1_replica_n1 t:null-11] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=0&wt=javabin&version=2} hits=24 status=0 QTime=9
2024-03-17 15:08:22.049 INFO  (qtp693267461-18-null-12) [c: s: r: x:restaurants_shard1_replica_n1 t:null-12] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&start=0&rows=24&wt=javabin&version=2} hits=24 status=0 QTime=0
2024-03-17 15:08:33.214 INFO  (qtp693267461-25-null-13) [c: s: r: x: t:null-13] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710668151883} status=0 QTime=1
2024-03-17 15:08:34.257 INFO  (qtp693267461-27-null-14) [c: s: r: x: t:null-14] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710668151883} status=0 QTime=25
2024-03-17 15:08:35.238 INFO  (qtp693267461-19-null-15) [c: s: r: x:restaurants_shard1_replica_n1 t:null-15] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710668151917} status=0 QTime=0
2024-03-17 15:08:35.968 INFO  (qtp693267461-27-null-17) [c: s: r: x: t:null-17] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710668151883} status=0 QTime=0
2024-03-17 15:08:35.970 INFO  (qtp693267461-22-null-18) [c: s: r: x:restaurants_shard1_replica_n1 t:null-18] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710668151917} status=0 QTime=0
2024-03-17 15:08:35.986 INFO  (qtp693267461-25-null-16) [c: s: r: x: t:null-16] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710668151883} status=0 QTime=18
2024-03-17 15:08:36.351 INFO  (qtp693267461-20-null-19) [c: s: r: x:restaurants_shard1_replica_n1 t:null-19] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&useParams=&_=1710668151917} hits=24 status=0 QTime=0
2024-03-17 15:08:36.361 INFO  (qtp693267461-25-null-20) [c: s: r: x:restaurants_shard1_replica_n1 t:null-20] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&useParams=&_=1710668151917} hits=24 status=0 QTime=0
2024-03-17 15:09:52.851 INFO  (qtp693267461-26-null-21) [c: s: r: x:restaurants_shard1_replica_n1 t:null-21] o.a.s.c.S.Request webapp=/solr path=/select params={q=fq%3D{!geofilt+sfield%3Dlocation+pt%3D41.0976102816418,28.87874273979854+d%3D10}&start=0&rows=0&wt=javabin&version=2} hits=10 status=0 QTime=565
2024-03-17 15:09:52.857 INFO  (qtp693267461-23-null-22) [c: s: r: x:restaurants_shard1_replica_n1 t:null-22] o.a.s.c.S.Request webapp=/solr path=/select params={q=fq%3D{!geofilt+sfield%3Dlocation+pt%3D41.0976102816418,28.87874273979854+d%3D10}&start=0&rows=10&wt=javabin&version=2} hits=10 status=0 QTime=1
2024-03-17 15:19:47.161 INFO  (qtp693267461-26-null-23) [c: s: r: x:restaurants_shard1_replica_n1 t:null-23] o.a.s.c.S.Request webapp=/solr path=/select params={q=fq%3D{!geofilt+sfield%3Dlocation+pt%3D41.0976102816418,28.87874273979854+d%3D10}&start=0&rows=0&wt=javabin&version=2} hits=10 status=0 QTime=2
2024-03-17 15:19:47.168 INFO  (qtp693267461-25-null-24) [c: s: r: x:restaurants_shard1_replica_n1 t:null-24] o.a.s.c.S.Request webapp=/solr path=/select params={q=fq%3D{!geofilt+sfield%3Dlocation+pt%3D41.0976102816418,28.87874273979854+d%3D10}&start=0&rows=10&wt=javabin&version=2} hits=10 status=0 QTime=1
